-0.46000,-0.24000,-0.46000,-0.24000,0.25000,0.02500, , , , , 
42.17886,-17.39151,-0.09375,0.15234,10.00000,-6.89420,31.75821,-7.07097,0.00,0.00,42.17886,-17.39151,26.80503
42.17886,-17.39151,-0.00046,0.04739,10.00000,-7.10070,32.00057,-7.10075,0.00,0.00,42.17886,-17.39151,26.80968
42.17886,-17.39151,-0.00000,0.05956,10.00000,-7.05216,31.66286,-7.05123,0.00,0.00,42.17886,-17.39151,26.80686
42.17886,-17.39151,-0.00000,-0.01532,10.00000,-7.11395,32.09353,-7.11398,0.00,0.00,42.17886,-17.39151,26.81051
42.17886,-17.39151,-0.00000,0.05859,10.00000,-7.08894,31.91920,-7.08887,0.00,0.00,42.17886,-17.39151,26.80904
42.17886,-17.39151,0.00769,-0.17572,10.00000,-7.13683,32.26461,-7.13781,0.00,0.00,42.17886,-17.39151,26.81215
42.17886,-17.39151,0.09325,-0.17125,10.00000,-7.13393,32.28227,-7.13526,0.00,0.00,42.17886,-17.39151,26.81471
42.17886,-17.39151,0.00101,-0.34367,10.00000,-7.15335,32.37407,-7.15337,0.00,0.00,42.17886,-17.39151,26.81294
42.17886,-17.39151,-0.04687,-0.14133,10.00000,-7.14107,32.28413,-7.14100,0.00,0.00,42.17886,-17.39151,26.81209
42.17886,-17.39151,0.05085,0.00372,10.00000,-7.09921,32.01308,-7.09942,0.00,0.00,42.17886,-17.39151,26.81127
42.17886,-17.39151,-0.06239,0.06061,10.00000,-7.08965,31.89863,-7.08961,0.00,0.00,42.17886,-17.39151,26.80711
42.17886,-17.39151,0.15718,-0.10843,10.00000,-7.07261,31.83706,-7.07293,0.00,0.00,42.17886,-17.39151,26.81022
42.17886,-17.39151,-0.07693,-0.01677,10.00000,-7.07825,31.79632,-7.07815,0.00,0.00,42.17886,-17.39151,26.80461
42.17886,-17.39151,-0.05866,-0.23442,10.00000,-7.14036,32.26683,-7.14134,0.00,0.00,42.17886,-17.39151,26.81062
42.17886,-17.39151,0.05854,-0.12511,10.00000,-7.12629,32.20404,-7.12625,0.00,0.00,42.17886,-17.39151,26.81308
42.17886,-17.39151,-0.03148,-0.12381,10.00000,-7.16404,32.47791,-7.16444,0.00,0.00,42.17886,-17.39151,26.81542
42.17886,-17.39151,-0.03317,-0.04498,10.00000,-7.13726,32.28425,-7.13780,0.00,0.00,42.17886,-17.39151,26.81364
42.17886,-17.39151,-0.01633,0.01607,10.00000,-7.12463,32.21931,-7.12466,0.00,0.00,42.17886,-17.39151,26.81501
42.17886,-17.39151,0.05836,-0.12062,10.00000,-7.12500,32.19736,-7.12532,0.00,0.00,42.17886,-17.39151,26.81302
42.17886,-17.39151,-0.05469,-0.17974,10.00000,-7.13916,32.25285,-7.13982,0.00,0.00,42.17886,-17.39151,26.81029
42.17886,-17.39151,-0.00001,-0.06248,10.00000,-7.15349,32.37326,-7.15349,0.00,0.00,42.17886,-17.39151,26.81282
42.17886,-17.39151,0.06152,-0.07330,10.00000,-7.15997,32.45512,-7.16145,0.00,0.00,42.17886,-17.39151,26.81515
42.17886,-17.39151,-0.05853,-0.01155,10.00000,-7.10553,32.00430,-7.10466,0.00,0.00,42.17886,-17.39151,26.80811
42.17886,-17.39151,-0.05883,-0.05494,10.00000,-7.11314,32.06755,-7.11375,0.00,0.00,42.17886,-17.39151,26.80863
42.17886,-17.39151,0.18341,-0.07018,10.00000,-7.11304,32.15855,-7.11241,0.00,0.00,42.17886,-17.39151,26.81623
42.17886,-17.39151,-0.00293,0.06200,10.00000,-7.08827,31.91345,-7.08821,0.00,0.00,42.17886,-17.39151,26.80891
42.17886,-17.39151,-0.00000,-0.25739,10.00000,-7.15563,32.38447,-7.15505,0.00,0.00,42.17886,-17.39151,26.81291
42.17886,-17.39151,-0.02930,0.13763,10.00000,-7.07289,31.79742,-7.07285,0.00,0.00,42.17886,-17.39151,26.80718
42.17886,-17.39151,-0.10843,0.20411,10.00000,-7.08798,31.89124,-7.08832,0.00,0.00,42.17886,-17.39151,26.80715
42.17886,-17.39151,0.11707,-0.17939,10.00000,-7.13593,32.30115,-7.13652,0.00,0.00,42.17886,-17.39151,26.81554
42.17886,-17.39151,-0.11671,0.01026,10.00000,-7.10035,31.95609,-7.10117,0.00,0.00,42.17886,-17.39151,26.80606
42.17886,-17.39151,0.12110,-0.12497,10.00000,-7.12535,32.21811,-7.12525,0.00,0.00,42.17886,-17.39151,26.81463
42.17886,-17.39151,0.00195,0.13757,10.00000,-7.06518,31.75421,-7.06427,0.00,0.00,42.17886,-17.39151,26.80786
42.17886,-17.39151,0.07910,-0.01268,10.00000,-7.11191,32.06145,-7.11287,0.00,0.00,42.17886,-17.39151,26.80859
42.17886,-17.39151,-0.03032,0.07616,10.00000,-7.08551,31.88530,-7.08575,0.00,0.00,42.17886,-17.39151,26.80790
42.17886,-17.39151,0.06058,0.04786,10.00000,-7.09903,32.01384,-7.09929,0.00,0.00,42.17886,-17.39151,26.81139
42.17886,-17.39151,0.12109,0.00006,10.00000,-7.09889,32.03828,-7.09887,0.00,0.00,42.17886,-17.39151,26.81347
42.17886,-17.39151,0.00781,0.00000,10.00000,-7.10094,32.00629,-7.10100,0.00,0.00,42.17886,-17.39151,26.81000
42.17886,-17.39151,-0.05474,0.04321,10.00000,-7.09457,31.92593,-7.09311,0.00,0.00,42.17886,-17.39151,26.80756
42.17886,-17.39151,-0.05517,-0.01076,10.00000,-7.10522,32.00410,-7.10443,0.00,0.00,42.17886,-17.39151,26.80820
