Ooops, no BNO055 detected ... Check your wiring or I2C ADDR!> nack
> nack
> nack
> nack
bnoerrored
-0.46000,-0.24000,-0.46000,-0.24000,0.25000,0.02500, , , , , 
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-5.00,0.00,0.00000,0.00000,25.24746
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.24070,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29671,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29811,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,-5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,2.29815,0.00000,2.29815,0.00000,5.00,0.00,5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.18324,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29528,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29808,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
0.00000,0.00000,0.00000,0.00000,-2.29815,0.00000,-2.29815,0.00000,5.00,0.00,-5.00000,0.00000,25.26778
bnoerrored
