-0.40000,-0.11000,-0.40000,-0.11000,0.15000,0.08000, , , , ,
0.38129,-1.01546,0.00,0.00,-0.70922,-1.36531,0.00,0.00,0.06854,-0.51186,0.07468,-0.55634,0.38129,-1.01546,25.24867
0.38129,-1.01546,0.00,0.00,0.64613,-0.06504,0.00,0.00,0.21119,-0.42122,0.22388,-0.41332,0.38129,-1.01546,25.24831
0.38630,-1.02332,0.00,0.00,-0.47330,-0.67481,0.00,0.00,0.11116,-0.47857,0.10264,-0.48354,0.38630,-1.02332,25.24840
0.39089,-1.03827,0.00,0.00,-0.19444,-1.42058,0.00,0.00,0.13306,-0.56413,0.13530,-0.57154,0.39089,-1.03827,25.24879
0.38054,-1.05781,0.00,0.00,-1.81979,-2.06219,0.00,0.00,-0.03348,-0.64310,-0.04812,-0.64992,0.38054,-1.05781,25.24909
0.35026,-1.08674,0.00,0.00,-0.93689,-0.88458,0.00,0.00,0.03140,-0.54089,0.03712,-0.53198,0.35026,-1.08674,25.24855
0.34669,-1.08450,0.00,0.00,-0.75009,0.35099,0.00,0.00,0.05419,-0.40685,0.05623,-0.39518,0.34669,-1.08450,25.24807
0.33212,-1.06940,0.00,0.00,-1.55976,2.11901,0.00,0.00,-0.03129,-0.21164,-0.03874,-0.19467,0.33212,-1.06940,25.24761
0.33733,-1.05466,0.00,0.00,0.82022,1.33065,0.00,0.00,0.20464,-0.27038,0.22528,-0.27548,0.33733,-1.05466,25.24795
0.34722,-1.05483,0.00,0.00,0.51569,0.20969,0.00,0.00,0.19634,-0.38859,0.19585,-0.39885,0.34722,-1.05483,25.24822
0.35916,-1.03779,0.00,0.00,1.05260,1.40939,0.00,0.00,0.25440,-0.27036,0.25958,-0.26008,0.35916,-1.03779,25.24798
0.37394,-1.04290,0.00,0.00,1.91781,0.09342,0.00,0.00,0.35204,-0.39596,0.36098,-0.40686,0.37394,-1.04290,25.24860
0.37883,-1.04791,0.00,0.00,0.62936,-0.87173,0.00,0.00,0.23127,-0.50553,0.22120,-0.51502,0.37883,-1.04791,25.24867
0.36371,-1.07246,0.00,0.00,-0.33323,-0.25409,0.00,0.00,0.11863,-0.46082,0.10900,-0.45692,0.36371,-1.07246,25.24831
0.34681,-1.04500,0.00,0.00,-1.95792,2.87403,0.00,0.00,-0.06102,-0.13057,-0.07665,-0.10186,0.34681,-1.04500,25.24752
0.34684,-1.04494,0.00,0.00,-0.19361,0.44041,0.00,0.00,-0.06102,-0.13057,-0.07665,-0.10186,0.34681,-1.04500,25.24752
0.33703,-1.02512,0.00,0.00,-0.51358,1.59524,0.00,0.00,0.13057,-0.38830,0.14742,-0.41070,0.34684,-1.04494,25.24819
0.31246,-1.00032,0.00,0.00,-3.00728,2.60718,0.00,0.00,0.07291,-0.22280,0.06792,-0.20841,0.33703,-1.02512,25.24764
0.29768,-0.98542,0.00,0.00,-1.37583,1.31316,0.00,0.00,-0.04311,-0.23346,-0.05322,-0.23439,0.31246,-1.00032,25.24768
0.29783,-0.93594,0.00,0.00,0.24624,2.65584,0.00,0.00,0.07449,-0.17131,0.08473,-0.16590,0.29776,-0.96564,25.24759
0.28791,-0.93595,0.00,0.00,-0.84850,0.30593,0.00,0.00,0.14618,-0.08126,0.15242,-0.07343,0.29783,-0.93594,25.24757
0.29275,-0.94094,0.00,0.00,0.59134,-0.29965,0.00,0.00,0.02950,-0.32478,0.01937,-0.34595,0.28791,-0.93595,25.24792
0.29279,-0.93105,0.00,0.00,0.18886,0.80875,0.00,0.00,0.13520,-0.30691,0.14449,-0.30535,0.29275,-0.94094,25.24790
